Name	Set	ImageFile	SetID	type	Race	Cost	TCost	ATK	DEF	Attribute	Rarity	Cardtext	Script
Agravain, the Hard Hand	AO1	AO1-001.png	AO1-001	Resonator	Knight of the Round Table	[L]		400	400	Light	R	[L]: Target resonator gains [Barrier](R) and [Barrier](D) until end of turn.	
Blessed Holy Wolf	AO1	AO1-002.png	AO1-002	Resonator	Holy Beast	[L][1]		400	600	Light	N	When this card enters your field => You may destroy target addition.	
Bors, Returned Adventurer	AO1	AO1-003.png	AO1-003	Resonator	Knight of the Round Table	[L][2]		600	600	Light	N	When this card enters your field or attacks => Target Knight of the Round Table gains [+400/+400] until end of turn.	
Galahad, the Son of the God	AO1	AO1-004.png	AO1-004	Resonator	Knight of the Round Table	[L][1]		400	400	Light	N	Whenever this card attacks => You gain 500 life. When this card is put into a graveyard from your field => Rest target resonator your opponent controls.	
Gloria's Castle Town	AO1	AO1-005.png	AO1-005	Addition: Field	Castle	[L][1]				Light	N	Whenever you gain life => Target resonator gains [+300/+300] until end of turn.	
Gwiber, the White Dragon	AO1	AO1-006.png	AO1-006	Resonator	Dragon	[L][4]		1200	1200	Light	N	You may pay [2] less to play this card for each resonator you control that entered your field this turn.	
Izanami, the God of Life	AO1	AO1-007.png	AO1-007	Resonator	Twelve Protective Deities	[L][L]		800	800	Light	SR	You gain [Barrier]. [L][L][F], discard this card: Put target resonator with total cost 3 or less from your graveyard into the field.	
Life Profiteering Priest	AO1	AO1-008.png	AO1-008	Resonator	Priest	[L]		200	400	Light	N	Whenever another resonator enters your field => You gain 200 life.	
Light of Sacred Spirit	AO1	AO1-009.png	AO1-009	Chant	Sword Art	[L]				Light	SR		
Ouroboros, the Reincarnating Light Serpent	AO1	AO1-010.png	AO1-010	Resonator	Twelve Protective Deities	[L][L][L][L][L]		2000	2000	Light	SR	[Enter] => Target player's life becomes 2000. [L][F], put this card from your hand into your Stranger deck: Choose a card from your Stranger deck at random and put it into your hand.	
Parry	AO1	AO1-011.png	AO1-011	Chant	Sword Art	[L]				Light	R		
Pride of Knights	AO1	AO1-012.png	AO1-012	Chant		[L]				Light	N		
Protective Barrier	AO1	AO1-013.png	AO1-013	Chant		[L]				Light	N		
Remilla, the Librarian of Magna	AO1	AO1-014.png	AO1-014	Resonator	Wizard/Cat	[L]		200	500	Light	R	Whenever you play a Mage Art => Draw a card. [Rest]: Look at the top card of your deck. You may remove it from the game.	
