Name	Set	ImageFile	SetID	type	Race	Cost	TCost	ATK	DEF	Attribute	Rarity	Cardtext	Script
Barbatos, Aspiring Ascendant	DSD	DSD-001	DSD-001	Resonator	Human	[F][F]	3	            1000	400        	Fire		[Tales][Revolution] (This card gains the following text as long as it is ordered.)	
Cthulhu's Intimidation	DSD	DSD-002	DSD-002	Chant	-	[F][F][F]	3			Fire		You may pay [Fire] less to play this card for each fire magic stone that entered the field under your control this turn.This card deals 600 damage to each J/resonator your opponent controls. If two or more fire magic stones were put into the field under your control this turn, damaged J/resonators cannot block until end of turn. If three or more fire magic stones were put into the field under your control this turn, draw a card.	
Flame Soldier of Ma'at	DSD	DSD-003	DSD-003	Resonator	Human	[F]	3	            400	400        	Fire		[Pierce][Revolution] (This card gains the following text as long as it is ordered.)	
Flaming Salamander	DSD	DSD-004	DSD-004	Resonator	Beast	[F][1]	3	            700	700        	Fire			
Lovecraft, Dragon of Chaos	DSD	DSD-005	DSD-005	Resonator	Dragon	[F][F][F][1]	3	            1800	400        	Fire		[Tales] [Flying] [Revolution] (This card gains the following text as long as it is ordered.)	
Phantasmal Ascendant	DSD	DSD-006	DSD-006	Resonator	Cthulhu	[F]	3	            400	400        	Fire		[Quickcast][Revolution] (This card gains the following text as long as it is ordered.)	
Red Flame	DSD	DSD-007	DSD-007	Chant	-	[F]	3			Fire		[Quickcast]This card deals 200 damage to target player or J/resonator.[Force Resonance]  (This card gains the following text in all zones as long as you control [Force Command] .)This card deals 200 damage plus an additional 200 damage multiplied by the number of magic stones you control instead.	
Red Wine and Bread	DSD	DSD-008	DSD-008	Addition	-	[F]	3			Fire		[Force Resonance] 	
Spirit of Ma'at	DSD	DSD-009	DSD-009	Resonator	Spirit	[F][F][1]	3	            900	900        	Fire		[Quickcast][Revolution] (This card gains the following text as long as it is ordered.)	
Sudden Manifestation of Power	DSD	DSD-010	DSD-010	Chant	-	[F]	3			Fire		Put the top card of your magic stone deck into the field. It gains "At the next end of turn >>> Put this card on the bottom of its owner's magic stone deck.". Draw a card.	
Nyarlathotep, Game Master	DSD	DSD-011	DSD-011	Ruler	High God		0				RR	[Tales][Revolution Order] [0] (Once per turn, as you play a resonator spell, you may choose to order it. If you do, that resonator spell gains "Players cannot chase to this card. This card cannot be canceled or moved to any zone other than the field.". As that resonator enters the field, put this card with its order side up into your order area.)[Force Command]  (Apply all [Force Resonance]  abilities of cards you control in all zones.)	
Order of the Game	DSD	DSD-011J	DSD-011J	Order	-		0				JR	(The ordered card becomes a J-ruler with play cost (and is no longer a resonator) and gains the following abilities as long as this card is in your order area. The J-ruler type and those abilities cannot be removed from or lost by the ordered card in any way.)[Force Command] 	
Fire Magic Stone	DSD	DSD-023	DSD-023	Basic Magic Stone	-		0						
Artillerist of Faith	DSD	DSD-012	DSD-012	Resonator	Soldier	[L]	3	            300	300        	Light		[Pierce]	
Choir of the Valkyries	DSD	DSD-013	DSD-013	Chant	-	[L][L]	3			Light		Put two [400/400] light Soldier resonator tokens into the field.[Force Resonance]  (This card gains the following text in all zones as long as you control [Force Command] .)Put X [400/400] light Soldier resonator tokens into the field instead, where X is the highest total cost among entities you control.	
Kara, Swift Valkyrie	DSD	DSD-015	DSD-015	Resonator	Valkyrie	[L][1]	3	            600	700        	Light		[Villains] [Swiftness] [Flying][Revolution] (This card gains the following text as long as it is ordered.)	
Geri and Freki, Greedy Wolves	DSD	DSD-014	DSD-014	Resonator	Beast	[L][L][L][2]	6	            1300	1300        	Light		[Villains]	
Praying Valkyrie	DSD	DSD-017	DSD-017	Resonator	Valkyrie	[L][L][1]	3	            900	900        	Light		[Flying][Revolution] (This card gains the following text as long as it is ordered.)	
Randgrid	DSD	DSD-018	DSD-018	Resonator	Valkyrie	[L][L]	3	            500	500        	Light		[Villains] [Flying][Revolution] (This card gains the following text as long as it is ordered.)	
Repeating Faith Revival	DSD	DSD-019	DSD-019	Chant	-	[L][2]	6			Light		Put target light resonator or light alternative card from your graveyard into the field. You may only put a resonator part of that alternative card into the field.[Force Resonance]  (This card gains the following text in all zones as long as you control [Force Command] .)Players cannot chase to this card. Put this card into its owner's hand as it resolves.	
Soldier of Minerva	DSD	DSD-020	DSD-020	Resonator	Soldier	[L]	3	            400	400        	Light		[Revolution] (This card gains the following text as long as it is ordered.)	
The Holy Shield of Misteltein	DSD	DSD-021	DSD-021	Addition	-	[L]	3			Light			
Odin, God of War	DSD	DSD-022	DSD-022	Ruler	High God		0				RR	[Villains][Revolution Order] [0] (Once per turn, as you play a resonator spell, you may choose to order it. If you do, that resonator spell gains "Players cannot chase to this card. This card cannot be canceled or moved to any zone other than the field.". As that resonator enters the field, put this card with its order side up into your order area.)[Force Command]  (Apply all [Force Resonance]  abilities of cards you control in all zones.)	
Order of War	DSD	DSD-022J	DSD-022J	Order	-		0				JR	(The ordered card becomes a J-ruler with play cost (and is no longer a resonator)and gains the following abilities as long as this card is in your order area. The J-ruler type and those abilities cannot be removed from or lost by the ordered card in any way.)[Force Command] 	
Artillerist of Faith	GOG	GOG-001	GOG-001	Resonator	Soldier	[L]	3	            300	300        	Light	N	[Pierce]	
Brunhild, Sign of Faith	GOG	GOG-002	GOG-002	Resonator	Valkyrie	[L][L][1]	3	            1000	1000        	Light	SR	[Villains] [Flying] [Drain][Revolution] 	
Choir of the Valkyries	GOG	GOG-003	GOG-003	Chant	-	[L][L]	3			Light	N	Put two [400/400] light Soldier resonator tokens into the field.[Force Resonance]  (This card gains the following text in all zones as long as you control [Force Command] .)Put X [400/400] light Soldier resonator tokens into the field instead, where X is the highest total cost among entities you control.	
Hegel, Giant of the Dark Sun	GOG	GOG-004	GOG-004	Resonator	Giant	[L][L][1]	3	            1000	1000        	Light	R	[Villains] [Drain][Revolution]	
Kara, Swift Valkyrie	GOG	GOG-005	GOG-005	Resonator	Valkyrie	[L][1]	3	            600	700        	Light	N	[Villains] [Swiftness] [Flying][Revolution] (This card gains the following text as long as it is ordered.)	
Keep the Faith!	GOG	GOG-006	GOG-006	Chant	-	[L]	3			Light	N	[Quickcast]Choose one;[Force Resonance] Instead add the following option and then choose one;	
