Name	Set	ImageFile	SetID	type	Race	Cost	TCost	ATK	DEF	Attribute	Rarity	Cardtext	Script
Aratron, Angel of Knowledge	NDR	NDR-001.png	NDR-001	Resonator	Angel	[L]		200	200	Light	U		
Ayu, the Mysterious Wanderer	NDR	NDR-002.png	NDR-002	Resonator	Wererabbit	[L][L]		600	600	Light	R		
Balmung	NDR	NDR-003.png	NDR-003	Chant		[L][L][2]				Light	R		
Blessing of the Sun	NDR	NDR-004.png	NDR-004	Chant/Rune(Divinity 2)		[L][L]				Light	C		
Child of the Hero	NDR	NDR-005.png	NDR-005	Resonator	Human	[L][2]		700	800	Light	C		
Commander of Minerva	NDR	NDR-006.png	NDR-006	Resonator	Human	[L][L]		600	500	Light	C		
Country of the Sun, Minerva	NDR	NDR-007.png	NDR-007	Addition		[L][1]				Light	U		
Eir, Bringer of Destruction	NDR	NDR-008.png	NDR-008	Resonator	Valkyrie	[L][L][1]		800	800	Light	U		
Haggith, Angel of Alchemy	NDR	NDR-009.png	NDR-009	Resonator	Angel	[L][L][2]		700	900	Light	C		
Light of the Moon	NDR	NDR-010.png	NDR-010	Chant/Rune(Divinity 1)		[L]				Light	U		
Moonlit Paradise, Lunar Heaven	NDR	NDR-011.png	NDR-011	Addition		[L][1]				Light	U		
Och, Angel of Clairvoyance	NDR	NDR-012.png	NDR-012	Resonator	Angel	[L][1]		500	600	Light	C		
One Who Gazes at the Soul	NDR	NDR-013.png	NDR-013	Resonator	Valkyrie	[L][4]		700	1200	Light	C		
Ophiel, Angel of Guidance	NDR	NDR-014.png	NDR-014	Resonator	Angel	[L][L][3]		1200	1200	Light	SR		
Protection of the Angels	NDR	NDR-015.png	NDR-015	Chant		[L]				Light	R		
Siegfried, the Hundred Years Hero	NDR	NDR-016.png	NDR-016	Resonator	Human	[L][L][1]		800	800	Light	SR		
Skuld, Valkyrie of the Future	NDR	NDR-017.png	NDR-017	Resonator	Valkyrie	[L][L]		600	500	Light	R		
Spear of the Valkyries	NDR	NDR-018.png	NDR-018	Chant/Rune(Divinity 2)		[L][1]				Light	U		
Tiny Trader	NDR	NDR-019.png	NDR-019	Resonator	Wererabbit	[L]		0	800	Light	C		
Whispers of an Angel	NDR	NDR-020.png	NDR-020	Chant/Rune(Divinity 2)		[L][2]				Light	C		
Anubis, Administrator of the Hounds	NDR	NDR-021.png	NDR-021	Resonator	Ascendant	[F][F][F][F][F][3]		1500	1500	Fire	SR		
Bird of Fire	NDR	NDR-022.png	NDR-022	Resonator	Beast	[F][3]		800	700	Fire	C		
Black Spot Tiger	NDR	NDR-023.png	NDR-023	Resonator	Beast	[F]		400	400	Fire	R		
Burial Rites	NDR	NDR-024.png	NDR-024	Chant		[F]				Fire	R		
Carrier Camel	NDR	NDR-025.png	NDR-025	Resonator	Beast	[F][1]		600	600	Fire	C		
Carrier Dragon	NDR	NDR-026.png	NDR-026	Resonator	Dragon	[F][1]		200	700	Fire	C		
Chain Bind	NDR	NDR-027.png	NDR-027	Chant/Rune(Divinity 3)		[F][2]				Fire	U		
City of Mirage, Sandora	NDR	NDR-028.png	NDR-028	Addition		[F][1]				Fire	U		
Desert Fennec	NDR	NDR-029.png	NDR-029	Resonator	Beast	[F][F][1]		1000	600	Fire	U		
Explosion Wizard	NDR	NDR-030.png	NDR-030	Resonator	Human	[F][4]		500	600	Fire	U		
Heaven Thundering Strike	NDR	NDR-031.png	NDR-031	Chant		[F][1]				Fire	R		
Land of Fiery Ambition, Kunlun	NDR	NDR-032.png	NDR-032	Addition		[F][F][F]				Fire	U		
Osiris, Lord of the Afterlife	NDR	NDR-033.png	NDR-033	Resonator	Ascendant	[F][F][1]		900	500	Fire	R		
Sandstorm	NDR	NDR-034.png	NDR-034	Chant/Rune(Divinity 1)		[F]				Fire	U		
Scalding Breath	NDR	NDR-035.png	NDR-035	Chant/Rune(Divinity 2)		[F][1]				Fire	C		
Scorching Winds	NDR	NDR-036.png	NDR-036	Chant/Rune(Divinity2)		[F]				Fire	C		
Shen Gongbao, Taoist of Kunlun	NDR	NDR-037.png	NDR-037	Resonator	Taoist	[F][F]		600	600	Fire	SR		
Trader of Sandora	NDR	NDR-038.png	NDR-038	Resonator	Human	[F][F][1]		600	700	Fire	C		
Venomous Scorpion	NDR	NDR-039.png	NDR-039	Resonator	Insect	[F]		300	100	Fire	C		
Wooden Ox	NDR	NDR-040.png	NDR-040	Resonator	Invention	[F][2]		0	1200	Fire	C		
Arondight, the Nitrogen Blade	NDR	NDR-041.png	NDR-041	Chant		[Wa]				Water	R		
Forest of the Lost, Misty Woods	NDR	NDR-042.png	NDR-042	Addition		[Wa]				Water	U		
Giant of Mist	NDR	NDR-043.png	NDR-043	Resonator	Giant	[Wa][2]		900	900	Water	C		
Hamelin, the Sound of Temptation	NDR	NDR-044.png	NDR-044	Resonator	Fairy Tale	[Wa][Wa][Wa][2]		400	400	Water	R		
Invitation	NDR	NDR-045.png	NDR-045	Chant/Rune(Divinity 2)		[Wa][Wa][1]				Water	U		
Iron Cauldron Witch	NDR	NDR-046.png	NDR-046	Resonator	Fairy Tale/Witch	[Wa][Wa][4]		700	900	Water	C		
J?rmungandr, Little Eater of Worlds	NDR	NDR-047.png	NDR-047	Resonator	Beast	[Wa]		400	400	Water	SR		
Lancelot, the Glass Knight	NDR	NDR-048.png	NDR-048	Resonator	Machine	[Wa][2]		600	600	Water	SR		
Mad Hatter of Misty Woods	NDR	NDR-049.png	NDR-049	Resonator	Fairy Tale	[Wa][Wa][3]		1000	1200	Water	U		
