Name	Set	ImageFile	SetID	type	Race	Cost	TCost	ATK	DEF	Attribute	Rarity	Cardtext	Script
Dispelling Stone	EDL	EDL-001	EDL-001	Chant	Treasure	[L]	3			Light	N	[Quickcast]Destroy target addition. Draw a card. Shuffle this card into its owner's deck as it resolves.	
Endless Starlight, the Star Sword	EDL	EDL-002	EDL-002	Chant	-	[L]	3			Light	SR	[Quickcast]This card deals damage to target resonator equal to that resonator's ATK. Then put two [+100/+100] counters on a resonator you control.	
Exorcist Mage at the Academy	EDL	EDL-003	EDL-003	Resonator	Human, Wizard	[L]	3	            400	400        	Light	R	[Quickcast]	
Flute, Captive Dragonoid Child // Group of Comets	EDL	EDL-004	EDL-004	Resonator // Chant	Dragonoid	[L][L][L][L][1]	3	            100	400        	Light	SR	[Barrier][Rest]: Produce [L].Destroy all J/resonators with no [+100/+100] counters on them.	
Grace of the Star	EDL	EDL-005	EDL-005	Chant	-	[L]	3			Light	N	[Quickcast] [Remnant]Target resonator gains [+400/+400] until end of turn. If there is a [+100/+100] counter on it, it also gains [Eternal] and [Barrier] until end of turn.	
Light Servant of Ragnarok	EDL	EDL-006	EDL-006	Resonator	Deity	[L][1]	3	            500	700        	Light	N	[Quickcast]	
Magic Bird	EDL	EDL-007	EDL-007	Resonator	Beast	[L][L][L]	3	            600	600        	Light	N	[Flying]	
Magic Crest of Light	EDL	EDL-008	EDL-008	Addition	Magic Crest	[L]	3			Light	N		
Oborozuki, Star Sword Visionary	EDL	EDL-009	EDL-009	Ruler	Human		0				RR	[Judgment][L][L]	
Pilgrim of the Star	EDL	EDL-010	EDL-010	Resonator	Human	[L][L][L]	3	            600	600        	Light	N		
Reiya, Spawn of the Star // Twinkle of the Star	EDL	EDL-011	EDL-011	Resonator // Chant	Human	[L][L][L]	3	            700	700        	Light	MR	[Quickcast]Double the number of [+100/+100] counters on each magic stone and light entity you control.	
Silmeria, Summoner of Spirits // Dance of Spirits	EDL	EDL-012	EDL-012	Resonator // Chant	Human, Wizard	[L][L][L][L]	3	            500	1000        	Light	R	[Flying][Quickcast]Your opponent cannot play spells until end of turn.	
Spirit of Light	EDL	EDL-013	EDL-013	Resonator	Spirit	[L][L]	3	            600	600        	Light	N		
Spirit of the Star	EDL	EDL-014	EDL-014	Resonator	Spirit	[L]	3	            200	200        	Light	N	[Quickcast] [Flying]	
Star Dragon	EDL	EDL-015	EDL-015	Resonator	Dragon	[L][L][L][L][L]	3	            1700	1700        	Light	SR	[Flying] [Precision] [Pierce]	
Starlit Canopy	EDL	EDL-016	EDL-016	Addition	-	[L][L]	3			Light	R		
The Hidden History - "Oborozuki"	EDL	EDL-017	EDL-017	Addition	-	[L]	3			Light	N		
The Showdown with Ragnarok	EDL	EDL-018	EDL-018	Chant	-	[L][L]	3			Light	N	[Quickcast]You may pay [L][L] less to play this card if your opponent's ruler is "Ragnarok, Invading Dragon Lord".Entities you control cannot be removed from the game until end of turn.	
Twinkling Dragon	EDL	EDL-019	EDL-019	Resonator	Dragon	[L][L][L]	3	            900	900        	Light	N	[Flying]	
Arle, the Seven-Tailed Fox // Arle's Flame	EDL	EDL-020	EDL-020	Resonator // Chant	Beast	[F][F][F]	3	            600	800        	Fire	MR	[Quickcast]This card deals 1400 damage divided as you choose to target resonator you control and target resonator your opponent controls. You must assign a minimum of 200 damage to each target.	
Burning Rabbit Dash	EDL	EDL-021	EDL-021	Chant	-	[F][F]	3			Fire	R	Put three [300/300] fire Beast resonator tokens with [Swiftness] and "When this card is put into a graveyard from the field >>> It deals 200 damage to target J/resonator." into the field.	
Chasing Dragon	EDL	EDL-022	EDL-022	Resonator	Dragon	[F][F][F]	3	            900	900        	Fire	N	[Flying] [Precision]	
Claw of the Dragonoid	EDL	EDL-023	EDL-023	Chant	Treasure	[F]	3			Fire	N	[Quickcast]Your J-ruler gains [Pierce] and [Swiftness] until end of turn. Draw a card. Shuffle this card into its owner's deck as it resolves.	
Contract with the Fox God	EDL	EDL-024	EDL-024	Chant	-	[F][F]	3			Fire	N	Reveal the top card of your deck and count the number of fire will symbols in its attribute cost. Produce [F] for each will symbol you counted this way.	
Cook at the Academy	EDL	EDL-025	EDL-025	Resonator	Human	[F][F]	3	            600	600        	Fire	N		
Fire Servant of Ragnarok	EDL	EDL-026	EDL-026	Resonator	Deity	[F][2]	6	            800	600        	Fire	N		
Groundsplitter Rabbit // Split Heaven and Earth	EDL	EDL-027	EDL-027	Resonator // Chant	Beast	[F][F][F]	3	            300	600        	Fire	SR	[Swiftness] [Pierce]This card deals 300 damage to each player for each special magic stone they control.	
Hoelle Pig // Food Supply	EDL	EDL-028	EDL-028	Resonator // Chant	Beast	[F][F]	3	            400	300        	Fire	N	[Quickcast]Put five strength counters on your J/ruler. Draw a card.	
Hunting Dragon	EDL	EDL-029	EDL-029	Resonator	Dragon	[F][F][F][F][F]	3	            1700	1700        	Fire	SR	[Flying]	
Injured Fox	EDL	EDL-030	EDL-030	Resonator	Beast	[F]	3	            700	700        	Fire	N		
Lilias, Last Descendant of Dragonoids	EDL	EDL-031	EDL-031	Ruler 	Dragonoid		0				RR	[Judgment][F][F][F]	
Lilias's Mentor	EDL	EDL-032	EDL-032	Resonator	Human	[F][F]	3	            100	600        	Fire	R		
Lilias's Strike	EDL	EDL-033	EDL-033	Chant	-	[F][F][F]	3			Fire	N	[Quickcast]Choose one;	
Magic Crest of Fire	EDL	EDL-034	EDL-034	Addition	Magic Crest	[F][1]	3			Fire	N		
Shrine of the Dragonoids	EDL	EDL-035	EDL-035	Addition	-	[F]	3			Fire	N		
Spirit of Scorched Bales	EDL	EDL-036	EDL-036	Resonator	Spirit	[F][F][F]	3	            800	800        	Fire	SR		
The Hidden History - "Lilias"	EDL	EDL-037	EDL-037	Addition	-	[F]	3			Fire	N		
Thunder Wolf // Thunder	EDL	EDL-038	EDL-038	Resonator // Chant	Beast	[F][F][F][F]	3	            900	900        	Fire	R	[Swiftness][Quickcast]This card deals 500 damage to target player or J/resonator.	
Academy Guard of Lykeion	EDL	EDL-039	EDL-039	Resonator	Wizard	[Wa]	4	            400	400        	Water	N	[Quickcast]	
Appraisal of Treasures	EDL	EDL-040	EDL-040	Chant	-	[Wa][4]	12			Water	N	You may pay [1] less to play this card for each Treasure in your removed area that was removed by an [Exploration] ability you controlled.Reveal the top card of your deck and count the number of water will symbols in its attribute cost. Draw X cards, where X is the number of will symbols you counted this way.	
